Syntax version=4
Wed Jun 11 09:51:11 2025
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		pitch_kalman	roll_kalman	MOTangle10	MOTangle100	MOTangle11	MOTangle9	KalmanX.angle	KalmanX.velocity	offset	velocity_k	angle_robot	dt	velocity_robot	KalmanX.bias	KalmanY.bias	DDSangle01	DDSangle30	DDScurrent01	DDScurrent30	DDSrpm01	DDSrpm30	anglex01_offset	anglex30_offset	distnacex01	revolutionx01	DDSangle01m_old	zerocrossx01down	zerocrossx01up	delatx01	distnacex30	DDSvelocity01	DDSvelocity30	iq	Xerror	SSref	Xref	error_lateral	lateral_out	integral_lateral
D:	time(ms)	(0x20000498,7)	(0x20000490,7)	(0x2000066c,6)	(0x20000658,6)	(0x20000694,6)	(0x20000680,6)	(0x200000a8,7)	(0x200000b8,7)	(0x20000000,7)	(0x20000330,7)	(0x20000350,7)	(0x20000478,7)	(0x20000360,7)	(0x200000b0,7)	(0x20000100,7)	(0x20000404,6)	(0x20000420,6)	(0x2000040c,6)	(0x20000428,6)	(0x20000408,6)	(0x20000424,6)	(0x20000448,6)	(0x2000045c,6)	(0x20000444,6)	(0x2000044c,5)	(0x2000041c,6)	(0x20000454,5)	(0x20000450,5)	(0x2000043c,6)	(0x20000458,6)	(0x20000414,6)	(0x20000430,6)	(0x20000328,7)	(0x20000378,7)	(0x200003a8,7)	(0x20000370,7)	(0x20000394,6)	(0x20000390,6)	(0x20000398,6)
D:	0.15	-10.216842	67.996473	-0.000192	0.000192	0.000192	-0.000192	67.998033	0.044565	-1.500000	0.007159	69.498033	0.018000	0.007159	-3.785023	0.704602	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.892774	0.379103	0.000000
D:	9.16	-9.782774	67.998033	-0.000192	0.000192	0.000192	-0.000192	67.998033	0.044565	-1.500000	0.007159	69.498033	0.019000	0.007159	-3.785023	0.704602	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.892774	0.379103	0.000000
D:	18.04	-9.782774	67.998033	-0.000192	0.000192	0.000192	-0.000192	67.998033	0.044565	-1.500000	0.007159	69.498033	0.019000	0.007159	-3.785023	0.638405	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.826448	0.375455	0.000000
D:	26.55	-9.716449	67.989869	-0.000192	0.000192	0.000192	-0.000192	67.989869	0.200828	-1.500000	0.042465	69.489869	0.018000	0.042465	-3.780980	0.638405	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.826448	0.375455	0.000000
D:	34.95	-9.716449	67.989869	-0.000192	0.000192	0.000192	-0.000192	67.989869	0.200828	-1.500000	0.042465	69.489869	0.018000	0.042465	-3.780980	0.638405	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.826448	0.375455	0.000000
D:	43.45	-10.234171	68.040144	-0.000192	0.000192	0.000192	-0.000192	68.040144	0.042247	-1.500000	0.191938	69.540144	0.018000	0.191938	-3.797973	1.107090	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.344172	0.403929	0.000000
D:	52.14	-10.234171	68.040144	-0.000192	0.000192	0.000192	-0.000192	68.040144	0.042247	-1.500000	0.191938	69.540144	0.018000	0.191938	-3.797973	1.107090	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.344172	0.403929	0.000000
D:	60.82	-10.234171	68.040144	-0.000192	0.000192	0.000192	-0.000192	68.028221	0.037921	-1.500000	0.050650	69.528221	0.018000	0.050650	-3.793647	0.644435	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.854016	0.376971	0.000000
D:	69.62	-9.744016	68.028221	-0.000192	0.000192	0.000192	-0.000192	68.028221	0.037921	-1.500000	0.050650	69.528221	0.018000	0.050650	-3.793647	0.644435	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.854016	0.376971	0.000000
